id,name,category,sub_category,originalPrice,discountedPrice,images,tags,description
58,Gadwal Cotton Silk Mix,Saree,Gadwal,1399.99,141,https://example.com/saree58_1.jpg|https://example.com/saree58_2.jpg|https://example.com/saree58_3.jpg,Gadwal|Zari|Elegant|Festive|SouthIndian,Features a cotton body for comfort and a silk zari border for elegance. Suitable for long festive days and religious rituals. Traditional Telangana weave.
59,Baluchari Mythological Saree,Saree,Baluchari,799.99,125,https://example.com/saree59_1.jpg|https://example.com/saree59_2.jpg|https://example.com/saree59_3.jpg,Baluchari|Silk|Bengal|Heirloom|Traditional,Intricate weaving on the pallu depicting scenes from the Ramayana. A grand choice for weddings and prestigious ceremonies. Rich silk from West Bengal.
60,Konrad Silk Wedding Saree,Saree,Konrad,1399.99,190,https://example.com/saree60_1.jpg|https://example.com/saree60_2.jpg|https://example.com/saree60_3.jpg,Konrad|TempleSaree|Wedding|Silk|TamilNadu,Heavily weighted silk with wide borders featuring animal and nature motifs. Traditionally worn for South Indian weddings. Exquisite and durable.
61,Banarasi Tanchoi Silk,Saree,Banarasi,1799.99,144,https://example.com/saree61_1.jpg|https://example.com/saree61_2.jpg|https://example.com/saree61_3.jpg,Banarasi|Tanchoi|Silk|Soft|Wedding,A unique Banarasi weave that uses silk extra weft for a satin-like finish. Perfect for cocktail weddings and receptions. Features intricate floral patterns.
62,Kanchipuram Pattu Saree,Saree,Kanchipuram,2299.99,187,https://example.com/saree62_1.jpg|https://example.com/saree62_2.jpg|https://example.com/saree62_3.jpg,Kanchipuram|Pattu|GoldZari|Bridal|Traditional,Lustrous heavy silk with broad zari borders in traditional South Indian motifs. The ultimate choice for a classic bridal trousseau. Hand-woven in Tamil Nadu.
63,Paithani Traditional Border,Saree,Paithani,1099.99,169,https://example.com/saree63_1.jpg|https://example.com/saree63_2.jpg|https://example.com/saree63_3.jpg,Paithani|Silk|Festive|Traditional|Maharashtra,Hand-woven silk featuring a rich 'Narali' (coconut) border. Ideal for Ganesh Chaturthi and wedding rituals. Vibrant colors with fine metallic work.
64,Chanderi Floral Pota,Saree,Chanderi,999.99,140,https://example.com/saree64_1.jpg|https://example.com/saree64_2.jpg|https://example.com/saree64_3.jpg,Chanderi|Floral|Summer|DayWedding|Sheer,Features hand-woven floral 'buttas' on a sheer silk-cotton base. Elegant choice for summer garden parties and formal lunches. Lightweight and sophisticated.
65,Bandhani Georgette Party,Saree,Bandhani,2199.99,179,https://example.com/saree65_1.jpg|https://example.com/saree65_2.jpg|https://example.com/saree65_3.jpg,Bandhani|Georgette|Partywear|Colorful|TieDye,Fine georgette fabric with traditional Rajasthani bandhej dots. Suitable for festive parties and sangeet functions. Vibrant and easy to drape.
66,Kalamkari Cotton Heritage,Saree,Kalamkari,1399.99,168,https://example.com/saree66_1.jpg|https://example.com/saree66_2.jpg|https://example.com/saree66_3.jpg,Kalamkari|Cotton|NaturalDye|Artistic|Casual,Hand-printed with intricate pen-art motifs using organic vegetable dyes. Perfect for casual day outings and art festivals. Breathable and culturally rich.
67,Patola Silk Ikat Fusion,Saree,Patola,1199.99,169,https://example.com/saree67_1.jpg|https://example.com/saree67_2.jpg|https://example.com/saree67_3.jpg,Patola|Ikat|Silk|Heritage|Wedding,Double-ikat silk featuring traditional parrot and elephant motifs. A high-status garment for grand weddings and social elite events. Masterpiece from Gujarat.
68,Traditional Kerala Kasavu,Saree,Kasavu,2399.99,173,https://example.com/saree68_1.jpg|https://example.com/saree68_2.jpg|https://example.com/saree68_3.jpg,Kasavu|Kerala|Cotton|Minimal|Festive,"The quintessential white cotton Saree with a broad pure gold border. Best for Onam, Vishu, and temple visits. Symbolizes purity and elegance."
69,Bengal Tant Handloom,Saree,Tant,2999.99,153,https://example.com/saree69_1.jpg|https://example.com/saree69_2.jpg|https://example.com/saree69_3.jpg,Tant|Cotton|DailyWear|Bengal|Summer,Classic starched cotton Saree with ornate borders. Ideal for the hot humid climate and daily wear. A traditional staple from the weavers of Bengal.
70,Kota Doria Hand-Blocked,Saree,Kota Doria,1499.99,187,https://example.com/saree70_1.jpg|https://example.com/saree70_2.jpg|https://example.com/saree70_3.jpg,KotaDoria|BlockPrint|Summer|Casual|Rajasthan,Feather-light fabric with delicate hand-block printed floral patterns. Perfect for high-tea parties and casual summer events. Handcrafted in Rajasthan.
71,Anarkali Silk Embellished,Kurti,Anarkali,899.99,130,https://example.com/kurti71_1.jpg|https://example.com/kurti71_2.jpg|https://example.com/kurti71_3.jpg,Anarkali|Silk|Partywear|Royal|Embroidery,Heavy flared silk kurti with zardosi work on the neckline. A stunning choice for grand weddings and festive evenings. Provides a regal silhouette.
72,Straight Cut Chikankari,Kurti,Straight Cut,1299.99,146,https://example.com/kurti72_1.jpg|https://example.com/kurti72_2.jpg|https://example.com/kurti72_3.jpg,StraightCut|Chikankari|Handicraft|Elegant|Summer,Features intricate hand-embroidered shadow work from Lucknow. Perfect for formal office wear or elegant day events. Pure georgette fabric.
73,A-Line Printed Rayon,Kurti,A-Line,3499.99,177,https://example.com/kurti73_1.jpg|https://example.com/kurti73_2.jpg|https://example.com/kurti73_3.jpg,ALine|Rayon|Casual|DailyWear|Comfort,Easy-to-wear A-line kurti with vibrant digital prints. Ideal for daily errands and casual social gatherings. Soft and durable rayon material.
74,Angrakha Wrap Kurti,Kurti,Angrakha,1299.99,184,https://example.com/kurti74_1.jpg|https://example.com/kurti74_2.jpg|https://example.com/kurti74_3.jpg,Angrakha|Traditional|Festive|Wrap Style|Cotton,Features a traditional wrap-around style with drawstring closure and bells. Best for Navratri and ethnic festivals. Beautifully printed cotton silk.
75,Kaftan Silk Digital Print,Kurti,Kaftan,1299.99,186,https://example.com/kurti75_1.jpg|https://example.com/kurti75_2.jpg|https://example.com/kurti75_3.jpg,Kaftan|Silk|Modern|ResortWear|Luxe,Loose-fit luxurious silk kaftan with modern abstract prints. Perfect for resort wear and evening cocktail parties. Effortlessly chic and comfortable.
76,High-Low Chiffon Kurti,Kurti,High-Low,3899.99,198,https://example.com/kurti76_1.jpg|https://example.com/kurti76_2.jpg|https://example.com/kurti76_3.jpg,HighLow|Chiffon|Modern|Partywear|Trendy,Playful asymmetric hemline in a flowy chiffon fabric. A great pick for parties and semi-formal dinners. Features a light inner lining for comfort.
77,Office Shirt Style Kurti,Kurti,Shirt Style,1999.99,184,https://example.com/kurti77_1.jpg|https://example.com/kurti77_2.jpg|https://example.com/kurti77_3.jpg,ShirtStyle|Formal|OfficeWear|Cotton|Chic,A crisp cotton kurti with a collar and full-length sleeves. Designed for a professional and polished office look. Easy to pair with trousers or leggings.
78,Draped Dhoti Kurti,Kurti,Dhoti Style,1399.99,176,https://example.com/kurti78_1.jpg|https://example.com/kurti78_2.jpg|https://example.com/kurti78_3.jpg,DhotiStyle|Fusion|Partywear|Unique|Silk,Experimental draped silhouette that combines a kurti with a dhoti bottom. Perfect for sangeet functions and modern weddings. Premium art silk finish.
79,C-Cut Pastel Kurti,Kurti,C-Cut,1999.99,163,https://example.com/kurti79_1.jpg|https://example.com/kurti79_2.jpg|https://example.com/kurti79_3.jpg,CCut|Pastel|DayWear|CottonSilk|Elegant,Soft pastel-toned kurti with a curved 'C' hemline. Ideal for daytime celebrations and family brunches. Subtle silver thread work.
80,Flared Georgette Kurti,Kurti,Flared,2399.99,195,https://example.com/kurti80_1.jpg|https://example.com/kurti80_2.jpg|https://example.com/kurti80_3.jpg,Flared|Georgette|Wedding|Festive|Flowy,Full flared kurti that offers a beautiful twirl. Best suited for festive dances and wedding celebrations. Breathable georgette with gold border details.
81,Designer Front Slit Silk,Kurti,Front Slit,1099.99,165,https://example.com/kurti81_1.jpg|https://example.com/kurti81_2.jpg|https://example.com/kurti81_3.jpg,FrontSlit|Silk|Modern|Partywear|Bold,A high-glam silk kurti featuring a daring front slit and intricate hand-embroidery. Best paired with silk culottes for evening receptions. Luxury fabric with a rich sheen.
82,Embroidered Cotton Tunic,Kurti,Tunic,2699.99,195,https://example.com/kurti82_1.jpg|https://example.com/kurti82_2.jpg|https://example.com/kurti82_3.jpg,Tunic|Casual|Cotton|Embroidery|Daywear,"Short ethnic tunic with delicate floral embroidery on the yoke. Ideal for casual outings or semi-formal brunches. Soft, breathable cotton for ultimate comfort."
83,Velvet Floor Length Gown,Kurti,Floor Length,2099.99,193,https://example.com/kurti83_1.jpg|https://example.com/kurti83_2.jpg|https://example.com/kurti83_3.jpg,FloorLength|Velvet|Wedding|Winter|Luxury,"Royal floor-length gown in plush velvet with heavy zardosi work. A stunning choice for winter weddings and formal galas. Offers a heavy, regal drape."
